--This text file contains the custom weapon properties.--
--It can be configured by adding to or editing the current values using the below formatting standard--
--ITEMID,REACH,UNSHEATHEDMOVEMENT,ATTACKMOVEMENT,ATTACKSPEEDMOD,OFFHANDWIELD--
113,2.25,1,1,1,1
114,2.25,1,1,1,1
115,2.25,1,1,1,1
116,2.25,1,1,1,1
117,2.25,1,1,1,1
118,2.25,1,1,1,1
119,2.25,1,1,1,1
120,2.25,1,1,1,1
121,2.25,1,1,1,1
122,2.25,1,1,1,1
123,2.25,1,1,1,1
124,2.25,1,1,1,1
125,2.25,1,1,1,1
126,2.25,1,1,1,1
127,2.25,1,1,1,1
128,2.25,1,1,1,1
--Melee weapon is defaulted to 0 item id in code. Change its stats below.--
0,1.5,.5,.1,1,1
